,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dark Willow,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Grimstroke,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Mars,Medusa,Meepo,Mirana,Monkey King,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Pangolier,Phantom Assassin,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Snapfire,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Underlord,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Void Spirit,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
Dark Willow,49.6676,47.594,49.0292,47.6553,50.3938,48.5747,48.7872,54.6434,47.1512,46.9049,48.9867,51.9935,51.0775,50.2514,51.4859,50.1877,51.4333,48.7959,48.4369,48.5007,48.5049,0.0,50.4032,53.6289,50.3424,53.8529,49.2724,50.5641,53.8472,51.6957,50.419,55.3384,55.8022,48.749,51.0167,54.4376,55.5176,50.494,52.5658,57.725,47.4641,49.5664,50.985,53.0672,50.4717,56.3918,50.7511,51.4246,53.6752,52.1168,48.6576,48.525,48.6854,54.9683,52.5693,51.6958,49.8746,48.5297,52.4037,52.9674,47.5983,53.3285,47.6642,49.0698,49.6479,47.0952,51.7805,54.0176,55.7758,52.9254,50.7627,50.6254,49.8141,51.9793,50.4771,49.7598,49.4859,50.4824,47.2615,54.0679,49.3905,52.3658,51.1509,51.7929,50.99,50.3228,50.9967,51.4885,51.5227,47.6048,46.5663,52.6331,53.0303,52.2908,49.832,53.469,52.6177,49.8688,54.6089,54.6412,56.032,49.2979,50.1297,53.6548,46.7097,49.2901,48.5311,49.2298,48.7787,52.6671,48.3228,50.7895,49.1168,50.7282,49.8854,51.9188,50.8161,45.7708,46.6538
Dazzle,48.49,48.1655,47.3839,49.1339,52.7059,48.5757,48.7121,54.9181,47.2837,46.7725,48.1909,51.3208,52.0604,50.7947,53.4187,51.4158,52.6673,49.998,48.6153,48.2148,47.6269,49.5967,0.0,53.2792,50.3744,54.5358,49.2817,49.6587,53.2597,51.2788,50.6145,54.8279,56.3322,49.5548,50.0753,53.3325,53.9961,51.4218,52.7023,57.2923,47.2613,50.643,49.6238,53.2057,51.9131,57.4108,48.9799,52.6784,53.3527,52.4827,47.6995,47.2634,50.9833,54.7227,52.035,49.1157,48.5431,48.5059,50.7047,51.2027,49.6235,54.6267,49.0478,47.1862,50.1263,46.6772,52.2639,54.7724,54.2803,51.1598,50.5044,49.9934,48.6878,52.8185,51.9308,50.3018,49.8345,49.7003,47.0835,54.0298,50.6983,53.5604,50.1127,51.4559,50.3341,51.1721,49.5016,50.0795,51.679,48.5988,50.3196,50.7337,54.2347,52.2331,50.6747,52.5699,52.1973,48.8398,54.6915,54.7199,56.9715,49.4103,48.2027,52.117,47.193,50.1328,47.5465,47.8043,48.717,53.3637,49.0509,51.4029,48.7921,50.3537,49.866,51.4609,49.7175,46.848,48.6622
Death Prophet,45.5591,44.8602,45.2565,42.4807,49.1649,48.2278,45.9446,52.4312,42.7269,43.4576,44.3012,49.9609,47.4982,45.2821,50.1958,46.5814,49.986,43.028,44.7995,45.8124,43.9579,46.3773,46.7067,0.0,47.0315,50.9763,46.7367,45.1453,52.2469,48.8369,46.4271,51.2282,51.7772,47.367,47.9511,51.6466,51.0226,53.4013,48.3924,53.9346,44.6103,48.9369,46.3573,51.8648,46.8631,54.6396,47.0485,50.421,50.3656,49.1542,44.0782,43.102,43.8598,52.7167,50.9768,42.5426,48.6065,44.3135,48.354,49.2625,45.2486,49.5296,46.7343,44.5256,47.5403,43.0815,49.3365,52.9747,53.7714,48.6717,46.8344,47.1182,47.3536,49.9747,48.9955,47.9578,46.0814,46.7573,44.4912,50.4955,46.9245,50.3476,46.6313,47.7397,46.9504,47.5671,46.4865,48.3978,49.7685,43.1826,44.2714,47.6878,51.3085,48.4727,46.0969,51.1542,47.387,47.1545,53.9309,51.993,54.7397,47.2341,46.4947,50.0595,44.2265,44.9518,46.0292,44.6201,45.8221,50.326,43.011,48.4771,45.2721,45.0464,45.8125,48.6454,46.4779,41.832,44.2666
Disruptor,48.5125,47.0629,48.6913,49.1332,50.8278,48.9604,47.7113,54.3669,46.1606,46.589,47.6217,51.6504,50.5133,50.1786,50.6271,49.9,51.7386,47.3831,47.3857,48.1176,48.7619,49.6575,49.6255,52.9583,0.0,53.9112,48.3352,49.7793,52.9296,52.1875,50.077,54.1056,56.0703,50.7029,50.2124,53.72,54.5194,49.6004,52.1716,55.5976,47.0416,50.8254,50.5616,53.0086,49.2003,57.1192,49.1035,50.7928,52.9795,52.1907,45.1818,47.6086,48.7539,54.9424,52.1353,50.379,49.4506,48.483,51.823,52.7406,50.9734,53.8033,47.609,47.0162,50.581,45.9158,52.1245,53.0021,55.2795,52.2413,49.2918,52.2341,49.0047,53.1924,50.5443,50.3386,49.3792,49.7903,47.4381,53.6534,50.6655,51.8161,51.1402,51.1675,51.0313,50.1336,49.444,53.1443,51.6447,46.9819,47.0982,50.4813,53.9061,52.0571,50.1781,51.557,52.6322,49.8262,52.8923,53.5034,56.2824,48.5212,48.6568,51.4077,46.2743,49.5561,46.4134,48.1891,49.0064,52.4322,47.983,50.622,47.5836,51.2914,49.2167,50.808,50.3071,44.5223,46.8855
Doom,45.5889,43.8389,46.5081,44.3849,47.7156,46.1915,45.2002,51.0231,41.7708,43.5557,43.6876,49.6789,46.8341,44.6933,47.795,44.9694,50.4929,45.115,44.0107,43.8277,44.5467,46.147,45.4641,49.0054,46.0887,0.0,45.729,46.4143,50.6208,48.5005,49.0487,51.4482,51.3127,45.9356,47.6234,50.5919,51.319,46.8864,47.6457,52.8827,43.9293,48.1266,46.9442,50.2359,47.0544,52.0072,45.7148,47.169,49.699,48.5323,41.1374,43.7455,45.8825,52.4248,49.3049,45.4768,43.9643,45.0559,47.2728,50.037,44.9835,51.4126,45.1981,43.2922,46.7592,42.8644,50.1668,51.1558,52.3765,48.7525,46.3544,48.8955,45.5919,49.628,46.1692,47.8743,45.6588,45.9914,44.1957,49.938,47.0911,50.4434,47.3392,47.3497,47.5846,46.0264,45.0733,48.0507,48.1591,44.2602,43.9947,47.0981,49.9932,48.3977,47.2151,49.4811,49.2035,46.4883,51.6752,51.8234,53.5528,46.7523,46.8678,48.0271,43.732,46.1122,44.5161,44.7882,44.8672,49.3018,45.9834,48.388,45.3378,47.4595,46.1108,49.2469,45.2131,39.8905,43.6866
Dragon Knight,50.3284,47.9488,49.8037,49.5997,51.8609,51.4866,50.0816,55.251,47.1811,49.1818,49.1957,52.821,52.8443,54.5591,52.9717,52.7983,54.6094,51.4937,48.655,48.593,47.0662,50.7275,50.7182,53.2592,51.6647,54.2709,0.0,51.0639,55.0989,53.5797,52.2178,56.3377,56.2817,49.1839,52.1314,55.0778,55.5134,49.6146,53.5804,58.4045,47.9159,52.1419,51.2887,54.94,53.2702,58.9592,49.9677,52.0022,56.0663,54.667,47.4512,48.4463,50.3612,56.1291,54.0234,51.4815,47.0989,49.7866,52.7219,54.7828,51.3116,56.6548,46.2732,49.7966,52.6874,47.1872,52.7308,56.4094,53.331,53.4426,53.0969,52.3687,50.06,56.9825,50.6561,51.5761,52.3337,50.0328,50.5057,55.2452,50.5178,53.213,52.7102,53.256,51.8146,52.4776,51.3115,49.8901,52.6983,48.4891,48.0547,52.0514,56.0558,53.7332,53.3701,56.1234,52.8985,50.3754,53.6154,56.9739,58.4557,49.4122,52.1105,54.1044,46.4052,49.5506,49.0352,50.141,48.4428,52.063,49.6262,53.8192,49.0219,52.8851,51.7898,53.942,50.847,46.5109,48.947
Drow Ranger,49.6783,47.5004,48.9348,50.2781,50.9202,48.8577,49.6299,54.4338,47.5507,45.7377,47.111,50.8927,52.5397,48.2746,50.0578,48.6286,52.0474,51.2402,44.4458,48.6352,47.0659,49.4446,50.3399,54.8398,50.2261,53.5865,48.9292,0.0,52.2511,51.5206,49.0923,54.5533,55.9316,50.3031,49.3873,54.5926,53.5481,52.8744,52.4415,56.8733,47.8085,50.5726,50.7968,52.5292,49.2784,58.7751,49.1414,51.8053,55.2502,53.0632,49.7,46.6253,47.0411,54.1403,48.9287,49.5603,49.3437,47.8667,50.4592,52.0703,47.9122,52.8011,50.2,46.3544,51.0611,45.4619,52.7296,55.4213,56.3322,52.9379,48.8446,47.2076,50.2694,53.2655,47.7459,51.9236,50.8488,50.9468,47.6013,54.7213,49.5795,52.2742,51.6095,52.6126,50.827,48.9834,50.7097,50.957,50.9073,45.8978,44.8492,48.9258,52.5512,50.587,49.597,53.9468,54.8857,49.4811,54.0358,52.0478,54.5143,48.6147,49.6244,50.8784,47.0043,48.9234,48.3963,48.7075,50.2863,53.9115,50.2391,49.7626,48.4645,52.302,49.4312,50.3901,50.4957,43.3517,44.3835
Earth Spirit,45.8289,43.6035,46.5371,44.5124,50.1585,46.0468,45.8549,49.6349,45.1132,42.9236,44.9777,48.0311,47.3686,47.1911,47.0858,47.189,50.014,46.0102,44.0434,45.1895,43.6649,46.1527,46.7402,47.7456,47.0703,49.3791,44.901,47.7553,0.0,47.5046,46.2743,51.6386,50.4611,44.8412,45.9572,49.5578,51.0462,47.3291,48.92,52.4924,43.2957,46.0059,46.5087,48.4106,46.8897,53.5223,45.6135,47.8182,49.7275,48.6655,43.49,44.0103,45.4851,51.2253,49.4731,45.9532,45.8138,45.4991,47.3472,50.0449,47.888,52.8615,42.9341,42.7582,46.7299,43.0401,46.6967,51.4746,50.8312,48.2533,48.3202,49.6167,45.5633,48.9367,47.33,47.3399,46.7195,46.7833,44.4933,51.2354,46.1706,51.4536,48.0832,47.6701,46.8694,47.1097,45.0329,46.7497,48.0576,45.7059,45.0539,46.8192,50.4261,47.1047,47.5472,48.6912,50.2776,44.6216,49.7402,51.4388,52.7785,46.293,44.5491,48.2775,42.5992,46.2262,42.829,44.181,45.6388,48.7035,42.9313,47.4939,44.6462,46.9754,45.901,48.3404,46.1222,41.1341,43.62
Earthshaker,49.2702,45.146,47.6515,48.2595,51.483,47.517,47.9144,52.9009,47.716,46.1931,47.5335,51.3116,48.9204,59.6046,49.9465,50.8828,52.7847,46.4246,43.7073,46.9648,47.7925,48.3127,48.7124,51.163,47.8204,51.5,46.4075,48.468,52.4839,0.0,48.9884,51.9194,54.2646,48.5796,49.1392,51.5836,51.6847,49.4345,50.2702,56.1658,44.9631,48.3528,48.3399,51.1777,50.259,56.3025,47.7144,49.4478,52.0967,50.2146,46.5885,46.1033,52.7274,53.3549,50.8517,48.5034,58.2536,46.922,49.409,52.9966,53.4901,53.6626,45.4192,44.7825,48.9824,44.9094,51.4698,54.111,53.7557,50.9713,49.6988,53.9405,47.3398,50.9968,49.4325,49.7483,48.0597,47.6516,45.6828,51.5388,47.7424,52.2415,49.7914,49.9905,48.7196,48.222,48.6505,51.2646,49.5401,45.5263,44.1165,49.3358,52.4884,49.0112,48.91,49.7511,52.3905,47.7356,51.8984,53.2936,54.1608,47.7537,48.2228,51.467,44.5143,47.9897,45.3514,47.1077,46.9168,49.5203,48.0298,49.2215,46.9476,50.2796,48.3087,50.0383,48.4975,43.8725,44.4903
Elder Titan,50.0591,46.1715,48.2839,48.8445,51.6036,49.9945,50.063,53.542,47.0841,47.3601,47.6832,52.8686,50.6174,52.4448,50.9489,52.85,49.756,48.1624,46.7679,48.2885,45.9881,49.5809,49.3854,53.5481,49.9229,50.9512,47.7821,50.9219,53.7256,51.0348,0.0,53.1003,53.5693,51.1898,49.6214,54.289,53.9485,50.9768,51.1922,57.4864,46.9588,48.4428,49.7018,53.484,50.66,58.0574,49.412,49.6874,53.4589,51.5666,48.4279,48.6003,49.6013,54.409,52.0587,50.5101,61.3437,48.5544,51.4631,53.5017,54.185,53.0588,46.8552,47.3476,49.8062,46.7677,50.4606,53.5976,54.576,52.4352,48.763,55.7131,48.9591,52.2382,50.4514,51.1788,48.7891,49.5896,46.7966,54.5629,50.1548,52.3028,51.3597,51.2482,50.6344,49.9252,48.2999,51.9138,51.4936,46.6417,49.273,51.1379,52.2313,51.2857,49.1847,51.7362,54.5335,50.2102,51.9518,53.4188,54.0363,50.033,47.3848,52.956,47.4003,50.2597,47.1962,49.0423,48.6629,53.9361,47.8081,49.9672,47.983,49.9374,48.1244,50.9836,49.4885,43.0831,45.9826
Ember Spirit,44.647,43.1776,45.4922,44.3442,49.3764,45.8322,43.3026,51.2994,44.2797,44.5237,44.2753,46.6879,47.1936,50.8215,48.5374,48.1659,47.0013,43.1042,44.0116,43.2663,46.0207,44.6615,45.172,48.7722,45.8943,48.5517,43.6622,45.448,48.3613,48.0824,46.8996,0.0,50.7487,45.5327,46.0334,48.4119,50.493,42.7048,48.5692,53.3178,43.3846,44.567,47.2455,50.3832,44.9016,53.6873,45.4273,45.745,49.794,48.5195,40.8103,43.7475,46.0235,50.8753,48.9617,46.4106,44.2267,44.8206,45.8914,47.357,48.8729,49.9299,41.4786,43.545,47.1657,41.9042,47.2868,47.8643,50.2682,49.0309,46.5973,52.7607,45.0504,48.0704,46.3838,47.6042,46.8308,46.4791,43.2173,50.035,46.3678,50.3462,45.8618,46.8178,44.4853,46.1243,45.6558,44.6015,47.5714,44.2018,44.8364,47.9677,49.3187,46.5165,43.8753,51.0296,50.4512,45.2956,49.8531,50.4125,52.8258,44.7733,43.1583,49.0958,41.6656,47.091,42.3524,44.9339,43.6052,47.9516,43.3616,48.3564,44.617,45.9259,46.8177,47.9312,46.5703,41.5327,44.3993
Enchantress,44.3793,42.5663,43.3268,43.6881,48.0317,43.1026,43.0286,49.6554,45.1637,42.21,43.8921,46.3145,42.6005,46.7944,45.1554,44.2452,47.6701,46.6055,42.0643,41.2605,41.8793,44.1977,43.6677,48.1874,43.9296,48.6872,43.7182,44.0568,49.5388,45.7326,46.4306,49.2512,0.0,44.5886,45.5782,47.6803,47.7127,47.2411,47.4284,48.7414,41.8931,44.5217,44.1584,47.5078,44.461,50.5444,44.1623,46.4443,48.5221,46.2432,43.7995,42.1721,47.739,50.1821,45.8871,42.6708,41.9721,42.9571,46.9668,45.3361,39.7715,49.0896,42.0631,43.9576,43.9082,39.3829,47.4372,50.7959,50.8921,47.1041,42.5838,44.0184,44.4917,47.5591,43.0469,45.1409,44.0217,44.0915,42.2711,48.4901,43.4451,48.5313,45.0526,46.7901,45.958,44.1115,44.5059,45.2711,46.9357,43.7183,42.2983,44.725,48.4307,46.3623,44.6579,47.1027,46.8438,43.8121,49.081,48.4287,50.71,44.0366,42.8364,46.3192,41.0228,44.6707,41.355,42.6379,44.9753,47.9516,46.0933,45.4761,42.9962,44.1324,43.0715,46.7503,44.1245,38.9195,42.5444
Enigma,48.3525,47.0539,49.8132,47.1698,52.1598,49.8612,49.6375,55.9017,47.4376,48.2998,49.2813,52.2408,48.6027,52.5093,52.4773,53.6133,55.0796,46.9168,47.6432,49.6628,50.2963,51.2289,50.4206,52.6329,49.3061,54.033,50.8093,49.6736,55.122,51.4203,48.8701,54.4768,55.4111,0.0,50.3536,52.8995,54.9022,53.885,51.8559,56.518,47.3914,50.773,48.8436,52.1324,51.0527,57.963,49.9874,54.557,54.0678,51.7457,47.3493,48.1632,50.6851,55.1483,52.8515,46.5137,53.797,48.2693,52.9224,52.769,53.2352,54.753,48.4421,48.325,50.1889,47.546,53.9312,53.5921,56.892,52.915,49.836,53.9974,48.9517,53.0032,50.7399,51.8874,50.4098,51.1909,46.1797,50.8537,50.544,54.0669,52.036,51.5374,48.9987,48.8061,50.8152,52.3638,52.032,45.9488,44.4981,51.5249,53.3556,53.0208,51.7273,53.0574,54.5097,49.4825,54.8179,55.0403,57.1392,51.099,49.8955,52.7747,47.2147,49.3486,46.7516,47.7673,50.6665,53.3169,47.3102,50.919,46.6368,50.5846,49.0043,50.2223,49.3533,42.7716,45.7431
Faceless Void,49.9287,47.0212,48.5534,47.7328,52.0291,47.3252,46.7205,55.0817,44.8731,47.9881,48.1122,53.8642,50.2397,49.0422,49.7922,49.1158,52.2851,48.3876,48.2733,47.8529,49.4545,48.9832,49.9246,52.0524,49.7875,52.3765,47.8685,50.6136,54.0427,50.8622,50.3785,53.9665,54.4217,49.6416,0.0,52.5675,55.1124,49.7245,52.5257,57.333,47.4499,51.0864,50.5356,52.6665,50.2893,56.9042,49.4688,54.1044,53.5388,50.6489,44.6328,47.6653,48.787,54.9368,52.4721,49.5018,45.6538,47.4226,51.5102,53.1602,47.0337,54.4182,47.3585,47.4345,50.6292,45.696,53.1415,53.2032,55.0187,52.9441,50.866,50.9796,48.9216,52.6192,48.9432,51.6919,50.3874,50.3827,46.2474,53.3211,50.3666,53.3061,51.1961,49.71,49.6308,48.5092,48.0538,50.5011,52.578,49.0283,46.3046,50.4846,52.1771,51.3748,48.7759,51.7204,52.738,48.0129,54.6885,53.2393,56.5677,49.9777,47.7134,52.6533,46.2984,50.6881,46.4287,47.329,48.7913,52.7236,48.6761,50.5668,48.6845,53.6984,50.3078,50.4506,50.8765,42.6643,47.6027
Grimstroke,46.6034,43.5324,45.3739,44.3425,47.421,46.1526,44.0597,51.2493,41.7736,42.9939,44.2971,47.7763,47.7067,48.7436,47.2778,46.3297,48.5096,43.2981,43.372,44.851,44.5356,45.5623,46.6674,48.3558,46.2799,49.408,44.9221,45.4135,50.4421,48.4111,45.7109,51.588,52.3196,47.1184,47.4324,0.0,49.4836,46.5919,48.3388,52.6964,43.7212,45.9591,46.0254,48.8681,46.9409,52.5976,45.7323,47.7496,49.2507,48.6036,41.8916,43.3716,43.2734,51.7218,47.7765,45.205,46.0318,43.9781,47.4372,49.2279,48.7459,50.0642,44.6668,42.7188,47.575,43.1005,49.2054,50.6424,51.9703,50.2652,46.7247,50.4478,45.0484,49.1112,47.8054,46.4526,46.0466,45.0256,43.7414,49.74,47.0017,47.3558,46.523,48.0269,46.4532,46.4613,45.8837,49.5109,47.6944,43.7149,42.0282,47.8565,51.5155,48.1803,46.9817,47.8539,49.0843,47.4971,51.488,50.7175,53.1769,45.0749,46.4065,48.4841,43.7404,45.864,44.6473,44.3541,45.6328,48.7655,42.0533,47.6339,44.6337,46.3055,45.258,48.2919,46.348,41.4353,43.4637
Gyrocopter,43.2107,42.9349,43.0976,42.565,45.693,46.1154,43.7121,50.4623,43.838,43.2863,43.084,46.741,45.3523,48.6625,46.2583,47.6205,46.743,43.8009,41.3452,43.9567,44.673,44.4823,46.0038,48.9764,45.4805,48.6809,44.4865,46.4551,48.9537,48.311,46.0514,49.5069,52.2872,45.0972,44.8875,50.5163,0.0,46.8761,48.2961,53.1305,42.6115,43.726,45.5867,48.3646,46.646,55.9325,44.4409,44.715,50.6305,48.982,42.1499,43.0486,45.7113,49.9939,45.5862,44.8612,46.3592,43.5632,47.8468,47.8995,49.9574,50.3359,42.9759,43.5395,45.6527,40.8318,47.0497,49.2417,49.0219,47.5889,46.9108,48.2087,44.3355,49.3887,45.2126,46.9162,44.721,45.465,43.8767,49.0718,44.8243,47.7579,46.9589,47.6628,45.8233,45.9174,46.7779,47.6912,46.5398,42.5155,41.6445,46.9596,48.9411,47.8247,45.8354,49.2928,48.566,44.3666,50.0048,49.624,53.1112,44.6313,46.6603,46.6666,40.3922,46.9522,42.5357,44.786,44.2899,47.6882,44.4038,45.8883,42.5044,46.6339,45.9551,47.2719,45.5485,40.5139,41.3315
Huskar,47.9403,51.3924,39.0749,50.5536,47.9863,47.9573,48.3956,54.6541,45.1069,42.8773,48.5039,50.2014,46.9649,46.058,50.0882,45.7103,50.2979,46.7664,48.8457,45.791,47.6651,49.5059,48.5781,46.6161,50.3995,53.1135,50.3853,47.1249,52.6708,50.5632,49.0231,57.2951,52.7588,46.1105,50.2754,53.408,53.1238,0.0,50.153,55.8065,47.7174,48.7428,49.8637,51.8494,48.7864,55.6178,47.619,49.4223,50.4526,49.779,50.1413,46.6103,49.333,56.4362,51.6801,48.8163,52.5894,47.3317,50.7371,50.269,47.4234,52.2407,40.0104,48.2005,48.1456,45.7344,51.1287,54.733,56.0022,51.9834,47.3815,48.6593,49.3754,53.1659,47.2551,50.5784,51.5479,45.1164,45.4207,53.4964,48.8218,51.8972,47.9666,48.3387,49.815,47.6306,48.6295,51.2699,51.3245,45.7005,47.8055,49.3851,52.6093,50.6744,49.6698,56.5664,51.2641,49.6736,49.0381,52.4832,56.3315,48.9958,47.555,50.4388,46.6873,45.7659,46.2484,46.539,48.4423,45.634,45.525,51.3204,49.1926,48.3118,44.8665,53.331,46.9874,43.3363,48.349
Invoker,47.9683,44.2957,46.7719,46.0681,50.0708,46.7442,46.4069,52.0445,44.474,44.3113,44.3799,50.1099,48.1028,44.406,49.1907,49.0474,50.0385,45.6558,45.0518,45.9861,46.725,47.4341,47.2976,51.604,47.8283,52.3542,46.4195,47.5522,51.0799,49.7211,48.8077,51.4307,52.5715,48.1425,47.4742,51.6611,51.7038,49.8469,0.0,53.1322,45.6115,48.257,47.8133,50.7509,48.1419,54.9734,47.3764,48.3604,51.7144,49.7776,45.0863,46.0401,45.4923,52.8791,49.5799,51.0424,48.002,45.5739,49.9417,49.8742,48.5417,51.9485,45.9179,45.6962,47.4271,44.2694,49.8307,51.7173,52.8303,50.0245,46.5204,48.5585,47.6592,49.3522,47.5669,48.191,48.4281,47.3516,42.9044,51.6312,47.2591,50.1817,49.699,49.0404,48.0865,47.6805,46.8215,49.5707,48.9405,46.1168,46.2628,48.7203,50.7213,49.9333,47.8924,48.1876,51.4378,47.3945,52.0791,53.8632,53.8558,47.4471,48.7256,49.3892,45.641,46.9779,45.0443,45.5586,46.7173,52.1064,44.9343,45.4846,46.4244,47.5841,46.6233,49.2379,47.7106,44.3128,45.2346
Io,44.4223,41.3976,40.9976,44.3277,49.8965,43.2105,43.3104,47.4495,41.7608,42.0692,41.4493,45.045,43.5177,43.6607,43.794,43.4273,45.1597,43.6801,42.2421,40.9376,41.2162,42.2749,42.7076,46.0495,44.4023,47.1172,41.5954,43.1204,47.5075,43.8347,42.5135,46.6821,51.2585,43.4968,42.6669,47.3035,46.8694,44.1934,46.8677,0.0,41.3633,45.2585,42.8814,44.8835,44.2822,50.8085,41.6713,46.3746,46.8888,45.4987,41.1764,41.0398,43.4922,47.8815,44.5814,42.9136,41.4848,42.6101,44.4771,45.7445,44.1027,50.1182,40.8051,42.2422,44.5192,40.3455,45.4545,49.0534,47.4341,45.66,43.8627,46.2626,46.0503,47.099,44.2593,45.0249,43.9128,42.6781,43.1679,47.024,43.3985,47.7466,44.6551,44.7424,44.9714,44.0952,41.4615,43.6575,45.2832,42.5381,43.4172,44.2447,47.7039,44.42,44.9918,46.8539,45.4405,43.3806,46.1755,49.383,50.1568,43.7336,40.0418,44.4711,38.8467,43.5455,40.4577,41.8763,43.409,46.7448,42.1652,45.2107,42.2018,44.7588,42.9011,44.3663,42.9493,39.7907,43.195
Jakiro,51.3347,49.5299,51.9532,50.9046,54.1622,52.9739,50.0208,56.7794,51.8481,49.8452,50.9008,54.198,52.2125,53.7988,53.8628,55.7278,55.2685,49.1864,49.7277,51.0636,51.3231,52.5358,52.7386,55.3982,52.9583,56.0706,52.084,52.1916,56.7042,55.043,53.0411,56.6153,58.1068,52.6315,52.55,56.2787,57.3884,52.2825,54.3884,58.6366,0.0,51.3623,52.294,56.0205,52.4902,60.537,52.1042,52.6891,55.7252,54.7782,51.4869,51.4893,53.4029,57.9426,55.5229,54.3741,57.9035,50.6785,54.8984,54.3201,57.7748,56.6991,49.638,50.5518,53.1663,48.946,54.7961,56.1071,57.8005,54.1609,52.8802,56.6381,51.8501,55.5921,52.9504,52.7609,52.2058,51.7544,50.0427,54.3604,53.3198,56.1664,53.7733,54.1116,53.2244,52.6842,52.999,52.6458,53.2826,49.5583,50.8885,54.4476,55.3794,54.2158,52.7265,55.6831,57.1812,50.7427,55.7027,56.413,59.2924,52.0858,52.9321,55.801,49.1839,51.8484,49.4237,51.5847,51.5923,55.1889,52.0519,53.4112,51.3642,52.0815,51.1018,54.3069,52.6186,49.4848,49.3441
Juggernaut,47.9875,48.229,48.2175,46.2663,52.2929,47.4804,46.5525,55.8518,45.2453,49.1567,47.4199,51.0823,50.7261,47.8631,51.9495,50.2401,49.8554,46.7814,48.3356,48.7657,47.6973,50.4335,49.3569,51.0728,49.1745,51.8733,47.858,49.423,53.994,51.6435,51.5571,55.4329,55.4782,49.2384,48.9135,54.0408,56.2739,51.2571,51.7429,54.7414,48.6376,0.0,51.5676,54.3387,48.8144,57.3373,49.0071,52.1837,52.8388,50.5607,44.7642,47.0782,48.3811,54.7508,51.9887,50.0015,48.0271,47.4235,51.5406,50.3855,51.7763,53.1297,46.0459,45.6865,51.3464,46.2711,50.3667,54.3531,54.7659,53.3427,50.7071,51.9941,50.9733,52.367,49.2141,50.7444,49.013,48.1058,45.0122,53.2858,51.0172,52.9235,51.2191,49.5666,50.0982,48.0423,50.1102,49.2191,51.2866,47.8056,47.9752,49.4672,52.3014,51.1201,49.8789,51.3723,53.2107,52.0012,53.5533,55.5503,56.1367,50.6826,48.3355,52.3037,49.4991,50.103,44.6046,47.4171,50.8333,54.9866,44.9538,49.2297,48.2534,48.983,47.1878,50.657,49.7871,44.0365,48.0264
Keeper of the Light,50.5774,47.0373,48.5539,48.1018,52.0032,48.5712,47.6132,52.8718,49.2107,46.2251,47.0036,50.8877,50.5795,51.4263,51.48,51.9959,51.371,47.8196,47.8129,48.4826,48.9075,49.0149,50.3761,53.6467,49.4383,53.0557,48.7112,49.2084,53.4912,51.673,50.2981,52.7544,55.8415,51.1641,49.4643,53.9745,54.4132,50.1362,52.1866,57.1185,47.7059,48.4323,0.0,53.3417,50.9024,57.1262,49.6613,49.8329,53.6442,52.2597,48.4508,47.8115,50.9536,55.3893,51.0486,52.1642,51.1718,47.4562,52.3489,51.3919,52.6457,53.9457,46.0954,47.0071,49.8956,45.76,53.1002,54.7038,55.6517,51.4527,48.6525,54.7089,50.4251,52.6385,50.6915,50.345,47.8868,49.3967,46.1748,53.0367,50.6114,53.2197,51.2919,51.4341,50.4026,49.7468,49.9256,52.2752,50.9311,46.5156,47.4569,51.7539,52.4266,52.2215,50.8669,51.9292,54.9414,50.4949,53.126,54.1228,55.4765,50.8514,51.2321,52.365,47.0402,49.732,48.7582,49.0451,46.84,53.0064,49.6968,49.6246,49.263,50.0819,49.0062,51.0321,50.3978,46.8771,47.0714
